Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Singapore]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Meowdoku!,300000,-71428.57142857148,-19.23076923076924%
Tile Explorer: Tiles Clear!,242857,142857.14285714287,142.85714285714286%
Prank Master 3D!,242857,242857.14285714284,NA
▻Sudoku,171429,57142.85714285713,49.999999999999986%
Jewel Coloring,142857,-85714.28571428574,-37.50000000000001%
Sudoku - Brain Puzzle Games,85714,28571.42857142858,50.000000000000014%
imo-International Calls & Chat,85714,-71428.57142857143,-45.45454545454545%
Offline Games - No Wifi Games,85714,57142.85714285715,200.00000000000003%
Color Block Jam,85714,42857.14285714287,100.00000000000004%
Wordscapes - Word Game,85714,-99999.99999999999,-53.84615384615384%
LiveScore: Live Sports Scores,85714,-42857.14285714287,-33.33333333333334%
Block Blast！,85714,42857.142857142855,100.0%
Happy Color by Numbers Game,71429,42857.14285714286,150.00000000000003%
Wool Crush™-Escape Traffic Jam,71429,-157142.85714285716,-68.75%
Candy Crush Saga,71429,14285.71428571429,25.000000000000007%
Words of Wonders: Crossword,71429,42857.14285714286,150.00000000000003%
Wattpad - Read & Write Stories,57143,42857.142857142855,299.99999999999994%
Alarmy - Loud alarm clock,57143,57142.857142857145,NA
Goods Puzzle: Sort Challenge,57143,-228571.42857142858,-80.0%
Sofascore: Live Sports Scores,57143,0.0,0.0%
Locket Widget,42857,14285.714285714283,49.999999999999986%
Arrows – Puzzle Escape,42857,28571.42857142857,199.99999999999997%
MyFitnessPal: Calorie Counter,42857,42857.142857142855,NA
VPN Proxy Master - Super VPN,42857,42857.142857142855,NA
Grindr - Gay Dating & Chat,42857,14285.714285714283,49.999999999999986%
Triple Tile: Match Puzzle Game,28571,0.0,0.0%
Vita Mahjong,28571,-71428.57142857145,-71.42857142857143%
"Yahoo Finance: Stocks, Markets",28571,14285.714285714286,100.0%
Candy Crush Soda Saga,28571,28571.428571428572,NA
mail.yahoo.com,28571,28571.428571428572,NA
sethlui.com,28571,28571.428571428572,NA
Jigsaw Keyboard-win Kika Theme,28571,28571.428571428572,NA
wongnai.com,28571,28571.428571428572,NA
"WEBTOON: Manga, Comics, Manhwa",28571,0.0,0.0%
sg.news.yahoo.com,28571,28571.428571428572,NA
"Character AI: Chat, Talk, Text",28571,0.0,0.0%
Color by Number：Coloring Games,28571,-28571.428571428572,-50.0%
Crossword Jam: Fun Word Search,28571,28571.428571428572,NA
Gecko Out,28571,28571.428571428572,NA
Geometry Dash Lite,28571,14285.714285714286,100.0%
Pregnancy Baby Tracker - WTE,28571,28571.428571428572,NA
Poke Genie -Remote Raid IV PvP,28571,28571.428571428572,NA
Sudoku.com - Number Games,28571,14285.714285714286,100.0%
ThemeKit: Widget & Icon Themes,28571,28571.428571428572,NA
Tinder Dating App: Date & Chat,28571,-14285.714285714283,-33.33333333333333%
Goods 3D Sorting: Match Games,14286,14285.714285714286,NA
Grill Drop Master: Food Shelf,14286,14285.714285714286,NA
Hexa 3D Game: Dream Hex® Sort,14286,14285.714285714286,NA
1 2 3 4 Player Games,14286,14285.714285714286,NA
Fortune City: Expense Tracker,14286,14285.714285714286,NA
manilatimes.net,14286,14285.714285714286,NA
Hamster Jump: Cake Tower!,14286,14285.714285714286,NA
Hexa Sort,14286,14285.714285714286,NA
Hidden Object Games: Seek It,14286,14285.714285714286,NA
yahoo.com,14286,14285.714285714286,NA
1945 Air Force: Airplane Games,14286,14285.714285714286,NA
3D Bubble Shoot - ASMR Game,14286,14285.714285714286,NA
CHAI: Social AI Platform- Chat,14286,14285.714285714286,NA
gmmtv.fandom.com,14286,14285.714285714286,NA
inquirer.net,14286,14285.714285714286,NA
FotMob - Soccer Live Scores,14286,-14285.714285714286,-50.0%
merriam-webster.com,14286,14285.714285714286,NA
myshoppingblog.com,14286,14285.714285714286,NA
pulse.com.gh,14286,14285.714285714286,NA
sg.yahoo.com,14286,-42857.142857142855,-74.99999999999999%
theindependent.sg,14286,14285.714285714286,NA
uquiz.com,14286,14285.714285714286,NA
wattpad.com,14286,14285.714285714286,NA
Hidden Quest: Seek & Discover,14286,14285.714285714286,NA
"zeta: AI Chat, Story, Play",14286,-28571.42857142857,-66.66666666666666%
▻ Solitaire,14286,0.0,0.0%
Idiom Solitaire - 成語猜猜,14286,14285.714285714286,NA
"GoodNovel - Booktok, Stories",14286,14285.714285714286,NA
Jigsaw Puzzles - AI Generator,14286,14285.714285714286,NA
"Macadam, The Step Counter.",14286,14285.714285714286,NA
8 Ball Pool™,14286,14285.714285714286,NA
Amerigo File Manager,14286,14285.714285714286,NA
Bakery Rush: Sort Puzzle,14286,14285.714285714286,NA
Ball Sort Color Water Puzzle,14286,0.0,0.0%
Profile Perfect,14286,14285.714285714286,NA
BeReal: Photos & Friends Daily,14286,14285.714285714286,NA
Block Away - Tap Out Puzzle,14286,14285.714285714286,NA
Brick Blast - Ball Breaker,14286,14285.714285714286,NA
Bubble Pop! Puzzle Game Legend,14286,14285.714285714286,NA
Tap Tile!,14286,0.0,0.0%
Cake Sort - Color Puzzle Game,14286,0.0,0.0%
Citymapper: All Live Transit,14286,14285.714285714286,NA
Colony Flow!,14286,0.0,0.0%
Color Blast:Block Puzzle,14286,14285.714285714286,NA
asiaone.com,14286,0.0,0.0%
Crossword Go!,14286,14285.714285714286,NA
Da Fit,14286,-28571.42857142857,-66.66666666666666%
Flightradar24 | Flight Tracker,14286,14285.714285714286,NA
indianhealthyrecipes.com,14286,14285.714285714286,NA
ironsource - Brand,14286,14285.714285714286,NA
loveandlemons.com,14286,14285.714285714286,NA
macrumors.com,14286,0.0,0.0%
novelodge.com,14286,14285.714285714286,NA
sg.finance.yahoo.com,14286,14285.714285714286,NA
straitstimes.com,14286,14285.714285714286,NA
thesaurus.com,14286,0.0,0.0%
vibra.co,14286,14285.714285714286,NA
whoo - Meet Your Friends,14286,14285.714285714286,NA
wordhippo.com,14286,14285.714285714286,NA
wsbtv.com,14286,14285.714285714286,NA
少年ジャンプ＋ 人気漫画が読める雑誌アプリ,14286,14285.714285714286,NA
Jigblock™ Puzzle,14286,14285.714285714286,NA
Jigsaw Drop: Solitaire Puzzle,14286,14285.714285714286,NA
Hotpot Go,14286,14285.714285714286,NA
Jigsawcard Solitaire Puzzle,14286,14285.714285714286,NA
Killer Sudoku by Sudoku.com,14286,0.0,0.0%
